Brand,Category,Color,Size,Price
H&M,T-shirt,Black,L,353265
Pull&Bear,Dress,Blue,L,203132
Gucci,T-shirt,Black,M,264069
Nike,T-shirt,Green,L,154886
Zara,Jeans,Brown,S,308406
Levis,T-shirt,Green,L,232955
Zara,T-shirt,Green,S,436108
Levis,Dress,Pink,L,392858
Gucci,Dress,Green,XL,143380
Levis,Shirt,Black,XL,259871
Gucci,Jacket,Gray,L,267718
Adidas,Jeans,White,XL,375801
Gucci,Jacket,White,M,370328
Adidas,Dress,Black,L,441006
Levis,Shirt,Green,S,360136
Adidas,T-shirt,White,M,199780
Zara,Skirt,Brown,M,480242
Levis,Jeans,Black,L,331002
Pull&Bear,Skirt,Pink,L,398694
Levis,Skirt,Green,XL,328255
Zara,Dress,Red,L,499104
Gucci,Skirt,Green,L,271911
Levis,Jacket,Green,XL,116691
Adidas,Shirt,Red,L,448963
Uniqlo,Jacket,Pink,M,161712
Adidas,Jacket,White,S,280820
Pull&Bear,Skirt,Red,M,401302
Adidas,T-shirt,Red,S,157071
Pull&Bear,Dress,Pink,S,273196
Zara,Shirt,Black,S,174265
H&M,Skirt,Blue,L,140917
Zara,Dress,White,L,299977
H&M,Jeans,White,L,482615
Uniqlo,Jacket,Blue,S,357448
Uniqlo,Skirt,Black,M,107133
Pull&Bear,Hoodie,Green,L,486172
H&M,Shirt,Gray,L,259447
Nike,Shirt,Red,S,474444
H&M,T-shirt,White,XL,473462
Zara,Dress,Gray,S,342919
Gucci,Hoodie,Brown,L,175981
Pull&Bear,Jeans,Green,S,433543
H&M,Hoodie,White,L,205686
Adidas,Skirt,White,XL,260789
Gucci,Skirt,Red,L,426483
Pull&Bear,Shirt,Gray,XL,249517
Nike,Dress,White,L,191709
Levis,Jeans,White,M,314727
Levis,Shirt,Green,S,465498
Nike,Shirt,Gray,M,403710
Uniqlo,Shirt,Brown,XL,495744
Zara,Hoodie,Green,S,109519
Zara,Skirt,Red,S,283409
Levis,Shirt,Pink,S,420455
Gucci,Skirt,Brown,L,272985
Nike,Skirt,Gray,L,374083
Gucci,T-shirt,Pink,S,413894
Levis,Dress,White,L,253630
Zara,Jacket,Black,XL,128442
Pull&Bear,Shirt,White,S,467450
Zara,Shirt,Red,S,399467
Adidas,Jeans,White,L,139093
Gucci,Jacket,Black,S,219392
Gucci,Hoodie,Blue,L,431164
Levis,Dress,Red,S,101678
Gucci,Skirt,Red,XL,410209
Levis,T-shirt,Green,M,384098
Gucci,Dress,Gray,L,128917
Pull&Bear,Jacket,Brown,S,417471
Pull&Bear,Jeans,Green,L,111735
Gucci,Jeans,Blue,M,352414
Gucci,Dress,Red,XL,122540
Pull&Bear,Dress,Black,S,392802
Pull&Bear,Dress,Blue,L,456508
Gucci,Hoodie,Black,S,220471
Adidas,Skirt,Green,S,196181
Gucci,Hoodie,Green,M,207606
Gucci,T-shirt,Brown,XL,473383
Gucci,Shirt,Brown,L,437910
Gucci,Hoodie,Blue,M,217726
Adidas,Hoodie,Brown,XL,190897
Pull&Bear,Hoodie,Blue,M,175613
Adidas,Skirt,Pink,M,407398
H&M,Shirt,Pink,M,314388
Zara,Jeans,Pink,L,233155
Adidas,Dress,White,M,381551
Levis,Skirt,White,L,351715
Nike,Dress,Gray,XL,255844
H&M,Jacket,Pink,XL,315491
Pull&Bear,T-shirt,Brown,S,481867
Zara,Dress,Brown,S,365657
Levis,T-shirt,Gray,M,306348
Gucci,Jeans,Pink,L,459703
Uniqlo,Jacket,Green,S,491135
Adidas,Dress,Brown,L,380961
Adidas,Hoodie,Green,L,461914
Adidas,Hoodie,Gray,XL,290680
H&M,Hoodie,Red,XL,161143
Nike,Shirt,Brown,M,253803
Pull&Bear,Dress,Gray,M,289633
Uniqlo,Jeans,Black,M,305911
Pull&Bear,Skirt,Black,S,270785
Levis,Shirt,Green,XL,495274
Adidas,Hoodie,Green,XL,281921
Adidas,Jeans,Brown,L,166897
H&M,T-shirt,White,XL,412781
H&M,T-shirt,Gray,XL,454174
H&M,Jeans,Black,S,289560
H&M,Jeans,Green,M,146343
Nike,Jacket,Blue,XL,255668
Adidas,T-shirt,Pink,XL,153654
H&M,Hoodie,Black,XL,382620
H&M,Dress,Black,XL,485644
Zara,Jeans,Gray,L,135625
Pull&Bear,Jeans,Green,XL,352023
Gucci,T-shirt,Blue,S,374707
H&M,Jacket,Brown,S,453436
Nike,Shirt,Gray,S,125591
Zara,T-shirt,Red,L,304416
Adidas,Hoodie,Gray,M,113124
Uniqlo,Jeans,White,XL,376473
Adidas,Dress,White,S,443287
Levis,T-shirt,Black,L,484680
Zara,T-shirt,Brown,XL,161756
Adidas,T-shirt,Black,S,490453
Pull&Bear,Dress,White,S,278512
Adidas,Dress,Gray,L,423843
H&M,Dress,Gray,S,242841
Adidas,Shirt,Brown,XL,269637
Nike,Jacket,Brown,M,296914
Levis,Shirt,Brown,XL,292525
Zara,Hoodie,Black,L,118312
Adidas,Jacket,Red,XL,167860
Gucci,T-shirt,Black,L,214161
Zara,T-shirt,Brown,M,312438
Pull&Bear,Shirt,Gray,S,244850
Nike,Dress,White,L,278309
Pull&Bear,Jeans,White,M,276891
Adidas,Shirt,Red,M,457974
Gucci,Jeans,Gray,S,197929
Adidas,Skirt,Black,M,320743
H&M,Hoodie,Pink,M,350044
Nike,Shirt,White,S,432185
H&M,Skirt,Black,S,368137
Levis,Hoodie,Blue,XL,445890
Nike,Jacket,Gray,S,469979
H&M,Jeans,Brown,M,123700
Nike,T-shirt,Gray,S,308281
Levis,Jeans,Green,XL,127910
H&M,Dress,Blue,S,213599
